id;title;description;stock;precio_con_iva
1;Wallis and Futuna;generating;86040;3050
2;Small Fresh Gloves;Brunei Darussalam interface;82786;76999
3;lavender;Club backing up;19438;53135
4;Peru deposit;Frozen Analyst card;4106;79518
5;global mindshare;Ameliorated;18433;96264
6;navigating;Som Rustic Frozen Keyboard ROI;23978;54922
7;microchip;Response invoice;51669;73789
8;Jamaica Credit Card Account;Gorgeous Rubber Pants Cheese;12016;1439
9;Wooden Ergonomic Steel Gloves;Developer Shoes Music;76336;49161
10;Hollow Shoes systems;Generic Frozen Tuna HTTP;26089;37461
