id;fecha_pedido;fecha_notificacion;id_modo_pago;cargo_por_coste;gastos_envio;id_modo_envio;job_title;fecha_confirmacion
1;2019-12-30;2019-12-30;79963;29602;13371;18027;Investor Accounts Orchestrator;2019-12-30
2;2019-12-30;2019-12-31;76288;35980;55150;27935;Internal Configuration Director;2019-12-30
3;2019-12-30;2019-12-30;36323;69655;87388;50178;Dynamic Factors Producer;2019-12-30
4;2019-12-30;2019-12-30;61672;15019;93571;75612;Product Security Agent;2019-12-30
5;2019-12-31;2019-12-31;34393;66512;34951;419;Global Branding Manager;2019-12-30
6;2019-12-30;2019-12-30;80675;25047;15494;56601;District Identity Designer;2019-12-30
7;2019-12-30;2019-12-30;71101;61109;36214;97918;District Identity Orchestrator;2019-12-30
8;2019-12-30;2019-12-31;12725;87828;39924;7556;Customer Implementation Representative;2019-12-31
9;2019-12-30;2019-12-30;68300;54844;46211;24902;Dynamic Division Engineer;2019-12-30
10;2019-12-30;2019-12-31;57062;54810;69977;4038;District Intranet Manager;2019-12-30
