id;title;description;stock;precio_con_iva
1;Generic Steel Tuna;website calculating;57374;81236
2;support Consultant;wireless Chilean Peso Unidades de fomento;9665;76146
3;reboot deposit Sri Lanka Rupee;withdrawal Refined Metal Car Division;6255;13165
4;Credit Card Account;networks infomediaries;57853;43291
5;throughput;Union transmitting;27988;55080
6;initiative green;Malagasy Ariary Gloves;54278;48018
7;neutral;Rustic Concrete Car;78661;16911
8;Oklahoma;aggregate throughput Practical;94963;80588
9;distributed Dynamic auxiliary;Human New Mexico Implementation;12092;5182
10;Shirt intangible;Prairie;45935;14557
